election_year,state_name,constituency_name,constituency_type,party_name,short_form,candidate_name,EVM_votes,postal_votes,total_votes,rank,notes
2024,West Bengal,Krishnanagar,General,Communist Party of India (Marxist),CPI-M,S.M. SADI,179063,1138,180201,3,
2024,West Bengal,Krishnanagar,General,Independent,Ind,SANJIT BISWAS,8660,11,8671,4,
2024,West Bengal,Krishnanagar,General,Independent,Ind,SOURAV HELA,5061,4,5065,8,
2024,West Bengal,Krishnanagar,General,Independent,Ind,NEMAI BISWAS,5047,22,5069,7,
2024,West Bengal,Krishnanagar,General,Bahujan Samaj Party,BSP,AMAL CHANDRA SARKAR,5045,55,5100,6,
2024,West Bengal,Krishnanagar,General,All India Secular Front,Other-24,AFROJA KHATUN MONDAL,4284,14,4298,9,
2024,West Bengal,Krishnanagar,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,ISMAT ARA MONDAL,3603,19,3622,10,
2024,West Bengal,Krishnanagar,General,Independent,Ind,MD. MUKTAR SHAIKH,3287,7,3294,11,
2024,West Bengal,Krishnanagar,General,Independent,Ind,ALIK KUMAR KUNDU,2699,9,2708,12,
2024,West Bengal,Krishnanagar,General,None of the Above,NOTA,NOTA,6754,57,6811,5,
2024,West Bengal,Ranaghat,Scheduled Caste,Bharatiya Janata Party,BJP,JAGANNATH SARKAR,778046,4350,782396,1,
2024,West Bengal,Ranaghat,Scheduled Caste,All India Trinamool Congress,AITC,MUKUT MANI ADHIKARI,592276,3221,595497,2,
2024,West Bengal,Ranaghat,Scheduled Caste,Communist Party of India (Marxist),CPI-M,ALAKESH DAS,122970,840,123810,3,
2024,West Bengal,Ranaghat,Scheduled Caste,Bahujan Samaj Party,BSP,BIPLAB BISWAS,9319,73,9392,5,
2024,West Bengal,Ranaghat,Scheduled Caste,Socialist Unity Centre Of India (COMMUNIST),Other-35,PARESH HALDAR,8223,16,8239,6,
2024,West Bengal,Ranaghat,Scheduled Caste,Independent,Ind,JAGANNATH SARKAR,5831,30,5861,7,
2024,West Bengal,Ranaghat,Scheduled Caste,Independent,Ind,SHYAMAL KUMAR MALLICK,5533,11,5544,8,
2024,West Bengal,Ranaghat,Scheduled Caste,None of the Above,NOTA,NOTA,9798,95,9893,4,
2024,West Bengal,Bangaon,Scheduled Caste,Bharatiya Janata Party,BJP,SHANTANU THAKUR,716952,2553,719505,1,
2024,West Bengal,Bangaon,Scheduled Caste,All India Trinamool Congress,AITC,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,643653,2159,645812,2,
2024,West Bengal,Bangaon,Scheduled Caste,Indian National Congress,INC,PRADIPKUMAR BISWAS,64859,317,65176,3,
2024,West Bengal,Bangaon,Scheduled Caste,All India Secular Front,Other-24,DIPAK MAJUMDAR,19199,17,19216,4,
2024,West Bengal,Bangaon,Scheduled Caste,Independent,Ind,SUJATA BAIRAGI,9649,4,9653,5,
2024,West Bengal,Bangaon,Scheduled Caste,Independent,Ind,JASHAJIT SARKHEL,7829,4,7833,6,
2024,West Bengal,Bangaon,Scheduled Caste,Bahujan Samaj Party,BSP,CHANDAN MALLICK,5905,30,5935,8,
2024,West Bengal,Bangaon,Scheduled Caste,Independent,Ind,PRANITA MANDAL,2407,4,2411,9,
2024,West Bengal,Bangaon,Scheduled Caste,Independent,Ind,SUMITA PODDAR,2347,7,2354,10,
2024,West Bengal,Bangaon,Scheduled Caste,Independent,Ind,BISWAJIT DAS S/O LATE BALARAM DAS,2241,7,2248,11,
2024,West Bengal,Bangaon,Scheduled Caste,Socialist Unity Centre Of India (COMMUNIST),Other-35,PATIT PABAN MANDAL,2140,29,2169,12,
2024,Maharashtra,Kalyan,General,Right to Recall Party,Other-84,AMIT UPADHYAY,4185,20,4205,6,
2024,West Bengal,Bangaon,Scheduled Caste,Independent,Ind,BISWAJIT DAS,1257,15,1272,14,
2024,West Bengal,Bangaon,Scheduled Caste,Independent,Ind,KALYAN SARKAR,676,15,691,15,
2024,West Bengal,Bangaon,Scheduled Caste,Guruchand Sena Dal,Other-684,SUBRATA BISWAS,581,2,583,16,
2024,West Bengal,Bangaon,Scheduled Caste,None of the Above,NOTA,NOTA,6635,50,6685,7,
2024,West Bengal,Barrackpur,General,All India Trinamool Congress,AITC,PARTHA BHOWMICK,518486,1745,520231,1,
2024,West Bengal,Barrackpur,General,Bharatiya Janata Party,BJP,ARJUN SINGH,454184,1609,455793,2,
2024,West Bengal,Barrackpur,General,Communist Party of India (Marxist),CPI-M,DEBDUT GHOSH,109038,526,109564,3,
2024,West Bengal,Barrackpur,General,All India Secular Front,Other-24,MD JAMIR HOSSAIN,18797,9,18806,4,
2024,West Bengal,Barrackpur,General,Independent,Ind,ROHIT KUMAR PATHAK,7116,16,7132,6,
2024,West Bengal,Barrackpur,General,Bahujan Samaj Party,BSP,CHAPALA RAY (MAJUMDER),3882,27,3909,7,
2024,West Bengal,Barrackpur,General,Independent,Ind,SHARMISTHA DAS,3622,12,3634,8,
2024,West Bengal,Barrackpur,General,Bharatiya Nyay-Adhikar Raksha Party,Other-106,ANJAN GOSWAMI,3434,14,3448,9,
2024,West Bengal,Barrackpur,General,Independent,Ind,DHARMENDRA SINGH,2843,4,2847,10,
2024,West Bengal,Barrackpur,General,Independent,Ind,SANJAY SINGH,1670,6,1676,11,
2024,West Bengal,Barrackpur,General,Socialist Unity Centre Of India (COMMUNIST),Other-35,DEBASISH BANERJEE,1422,12,1434,12,
2024,West Bengal,Barrackpur,General,Independent,Ind,KUNDAN SINGH,820,6,826,13,
2024,West Bengal,Barrackpur,General,Independent,Ind,UDAY VEER CHOUDHURY,745,12,757,14,
2024,West Bengal,Barrackpur,General,Independent,Ind,AMIT KUMAR CHOUBEY,717,4,721,15,
2024,West Bengal,Barrackpur,General,None of the Above,NOTA,NOTA,11043,39,11082,5,
2024,West Bengal,Dum dum,General,All India Trinamool Congress,AITC,SOUGATA RAY,526289,2290,528579,1,
